MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,SaleType,SaleCondition,LotFrontage_na,MasVnrArea_na,GarageYrBlt_na
9,3,4.260984651952867,10.39418189500513,1,2,1,1,1,4,0,16,2,1,3,3,6,3,50,32,2,0,1,5,1,103.7974006116208,4,3,4,3,3,1,3,1219,1,0,816,7.618742377670413,2,3,1,3,7.830425617820331,0,0,7.830425617820331,1,0,3,0,4,2,3,9,0,2,3,3,32.0,2,2,484,3,3,2,0,0,1,0,0,0,0,0,2,0,3,2,0,1,1,0
5,3,4.382026634673881,9.158099260130491,1,2,0,1,1,0,0,8,0,1,3,1,6,7,65,56,0,0,1,1,1,0.0,3,3,2,3,3,1,4,403,3,1,238,6.693323668269949,2,3,1,2,6.8658910748834385,620,0,7.364547014255642,1,0,1,0,3,1,2,5,4,2,3,3,65.0,1,1,240,3,3,2,0,0,1,0,0,0,0,3,2,0,8,2,3,0,0,0
5,3,4.260984651952867,8.855948534052018,1,2,1,0,1,2,0,4,2,1,3,1,5,4,59,59,0,0,3,2,0,161.0,3,3,2,3,3,1,2,185,1,0,524,6.565264970035361,2,3,1,3,6.887552571664617,224,0,7.093404625868766,1,0,1,0,3,1,4,5,4,1,3,1,59.0,1,1,352,3,3,2,0,0,1,0,0,0,0,0,2,0,7,2,3,1,0,0
12,3,4.430816798843313,9.21094019204815,1,2,0,1,1,0,0,17,2,1,3,5,7,5,31,31,2,0,7,7,2,299.0,3,3,2,4,3,1,4,392,1,0,768,7.057036981697891,2,5,1,3,7.053585727193677,866,0,7.612336837167746,0,0,2,1,4,1,3,8,4,1,3,3,31.0,3,2,505,3,3,2,288,117,0,0,0,0,0,0,2,0,3,2,3,0,0,0
4,1,3.091042453358316,7.427144133408616,1,2,0,1,1,0,0,2,2,1,2,5,6,5,39,39,0,0,6,5,2,381.0,3,3,2,3,3,1,1,0,1,0,525,6.26530121273771,2,3,1,3,6.26530121273771,567,0,6.996681488176539,0,0,1,1,3,1,3,6,4,0,0,1,39.0,1,1,264,3,3,2,0,0,0,0,0,0,0,0,2,0,3,2,2,0,0,0
0,1,4.110873864173311,8.881975184248867,1,2,0,1,1,0,0,5,2,1,3,3,5,4,99,3,2,0,3,4,1,0.0,3,3,1,3,3,1,5,247,3,1,310,6.930494765951626,1,3,0,3,6.930494765951626,0,0,6.930494765951626,1,0,1,0,2,1,3,4,0,0,0,1,53.0,1,1,280,3,3,2,0,30,1,0,0,0,0,0,2,0,6,2,3,0,0,0
9,3,3.912023005428146,9.632793693113202,1,2,1,1,1,4,0,18,3,1,3,3,8,5,0,0,0,0,10,10,3,84.0,4,3,4,4,3,4,6,929,1,0,556,7.303843225277705,2,5,1,3,7.289610521451167,0,0,7.289610521451167,1,0,2,0,3,1,4,6,4,0,0,3,0.0,1,3,754,3,3,2,168,160,0,0,0,0,0,0,2,0,8,2,3,0,0,0
5,1,3.9318256327243257,9.105090961257085,1,2,0,0,1,0,0,0,2,1,3,1,6,6,70,57,0,0,1,1,1,0.0,3,4,4,3,3,1,1,0,1,0,780,6.660575149839686,2,3,1,3,6.660575149839686,595,0,7.226936018493289,0,0,1,1,3,1,4,6,4,1,4,1,28.0,1,1,544,3,3,1,0,162,0,0,1,0,0,0,2,0,12,2,3,0,0,0
12,3,5.081404364984463,9.656563472556515,1,2,1,1,1,2,0,22,2,1,3,5,10,5,11,11,2,0,1,5,1,0.0,4,3,4,5,3,3,6,2096,1,0,300,7.781973234434385,2,5,1,3,7.788211557847076,2065,0,8.406708458240965,1,0,3,1,4,1,5,10,4,2,3,3,11.0,3,3,813,3,3,2,171,78,0,0,0,555,1,3,2,0,7,2,1,0,0,0
4,4,4.260984651952867,8.53817159780143,1,2,3,1,1,1,0,18,2,1,4,5,7,5,3,3,0,0,3,2,1,0.0,4,3,4,4,3,1,6,239,1,0,312,6.313548046277095,2,5,1,3,6.313548046277095,551,0,7.005789019253503,0,0,2,1,2,1,4,4,4,0,0,1,3.0,1,2,480,3,3,2,0,60,0,0,0,0,0,0,2,0,3,2,3,1,0,0
