MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,SaleType,SaleCondition,LotFrontage_na,MasVnrArea_na,GarageYrBlt_na
9,3,4.30406509320417,9.096723645189215,1,2,1,3,1,0,0,19,2,1,3,3,8,5,2,2,0,0,10,10,1,0.0,4,3,4,4,3,3,6,16,1,0,1450,7.2909747781429814,2,5,1,3,7.2909747781429814,0,0,7.2909747781429814,0,0,2,0,3,1,4,7,4,0,0,3,2.0,3,3,610,3,3,2,100,18,0,0,0,0,0,0,2,0,7,2,3,0,0,0
9,3,4.290459441148391,9.211140052146748,1,2,1,1,1,0,0,8,2,1,3,3,5,7,49,2,0,0,6,6,2,54.0,4,3,2,3,3,1,5,806,1,0,247,6.960347729101308,2,5,1,3,6.960347729101308,0,0,6.960347729101308,1,0,1,1,3,1,4,5,4,0,0,3,49.0,2,1,312,3,3,2,0,0,0,0,0,0,0,3,2,0,8,2,3,0,0,0
11,3,4.127134385045092,8.943636705909594,1,2,0,1,1,0,0,21,2,1,4,3,9,5,5,5,2,0,3,2,2,412.0,5,3,4,5,3,1,6,456,1,0,1296,7.469083884921234,2,5,1,3,7.469083884921234,0,0,7.469083884921234,1,0,2,0,2,1,5,6,4,1,4,3,5.0,2,2,576,3,3,2,196,82,0,0,0,0,0,0,2,0,2,2,3,0,0,0
9,3,4.260984651952867,9.692581318886397,1,2,2,2,1,0,0,10,2,1,3,3,7,5,9,9,0,0,10,10,1,0.0,4,3,4,4,3,4,6,1443,1,0,39,7.301822342137932,2,5,1,3,7.3098814858247865,0,0,7.3098814858247865,1,0,2,0,3,1,4,5,4,1,2,3,9.0,2,2,514,3,3,2,402,25,0,0,0,0,0,0,2,0,8,2,3,1,0,0
9,3,4.61512051684126,9.227787285579904,1,2,1,1,1,0,0,8,2,1,3,3,6,5,44,44,0,0,6,7,2,272.0,3,3,2,3,3,1,4,490,1,0,935,7.262628600974241,2,4,1,3,7.262628600974241,0,0,7.262628600974241,0,0,2,0,3,1,3,7,4,1,4,3,44.0,2,2,576,3,3,2,0,0,0,1,0,0,0,0,2,0,7,2,3,0,0,0
11,3,4.189654742026425,9.079092085366229,1,2,0,1,1,2,0,21,2,1,4,3,9,5,0,0,2,0,3,2,2,766.0,5,3,4,5,3,1,6,1540,1,0,162,7.440146680662688,2,5,1,3,7.440146680662688,0,0,7.440146680662688,1,0,1,1,1,1,5,7,4,1,4,3,0.0,3,3,1052,3,3,2,0,72,0,0,1,0,0,0,2,0,10,3,4,0,0,0
9,3,4.812184355372417,9.386308454797962,1,2,1,1,1,2,0,15,2,1,3,3,9,5,2,2,0,0,10,10,1,0.0,4,3,4,5,3,1,1,0,1,0,1800,7.496097345175956,2,5,1,3,7.496097345175956,0,0,7.496097345175956,0,0,2,0,2,1,5,7,4,0,0,3,2.0,3,2,702,3,3,2,288,136,0,0,0,0,0,0,2,0,5,2,3,0,0,0
3,3,4.219507705176107,9.080003870248179,1,2,0,1,1,0,0,3,1,1,1,1,5,7,108,5,0,0,3,2,1,0.0,3,3,2,3,3,1,5,1084,1,0,188,7.149131598557407,2,4,1,3,7.149131598557407,928,0,7.696667081526462,2,0,2,2,4,2,3,9,4,0,0,3,29.704032258064444,1,0,0,3,3,0,0,70,0,0,0,0,0,4,2,0,9,2,3,0,0,1
7,1,4.260984651952867,8.537191877922927,1,0,0,1,1,0,0,5,2,1,3,5,8,7,83,12,2,0,4,3,1,0.0,3,4,4,3,3,1,1,0,1,0,588,6.3784261836515865,2,2,1,3,6.726233402358747,833,0,7.418780882750794,0,0,1,0,3,1,4,7,4,1,4,1,83.0,1,1,228,3,3,2,192,63,0,0,0,0,0,3,2,0,6,2,3,1,0,0
12,3,4.394449154672439,9.722744748855389,1,2,1,1,1,0,0,12,3,1,3,5,7,5,28,28,0,0,7,7,2,184.0,3,3,2,4,3,1,4,790,2,1,133,7.239214973779806,2,3,1,3,7.239214973779806,1392,0,7.932003152361385,1,0,3,1,5,1,4,12,4,2,3,3,28.0,2,2,564,3,3,2,0,112,0,0,1,519,1,3,0,1,7,2,3,0,0,0
0,1,3.9318256327243257,8.68710472813351,1,2,0,0,1,0,0,5,2,1,3,3,4,7,70,7,2,0,4,4,0,435.0,3,3,1,2,3,1,3,168,1,0,739,6.811244378601294,2,3,1,3,7.0317412587631285,0,0,7.0317412587631285,0,0,1,0,2,1,3,7,4,0,0,1,12.0,1,2,672,3,3,2,0,72,0,0,0,0,0,3,2,0,3,2,0,0,0,0
